"Dep";"Lat";"NivVie";"TXCh";"MedSpe";"Esp"
"Ain";46.1257525489444;16398;6.9;83;82.95
"Aisne";49.4926102727437;14377;13.7;113;79.85
"Allier";46.3776475030023;14661;10.4;136;81.3
"Alpes-de-Haute-Provence";44.1097887853149;14958;11.5;120;82.1
"Hautes-Alpes";44.6550445082765;15173;9;183;82.7
"Alpes-Maritimes";43.9045030528101;16109;10.2;265;82.65
"Ardeche";44.790572965988;14796;10.5;118;81.95
"Ardennes";49.7032164202796;14107;11.9;97;80.6
"Ariege";42.9584710299969;14479;12;114;82.1
"Aube";48.275701677477;15110;11.8;117;81.35
"Aude";43.1010967625512;13882;13.7;141;81.95
"Aveyron";44.2776276397705;14547;7.3;120;82.85
"Bouches-du-Rhone";43.4386325597763;15450;11.8;256;82.25
"Calvados";49.1223095059395;15373;9.5;195;81.55
"Cantal";45.0391498495031;13906;6.5;115;81.5
"Charente";45.8165917078654;14829;9.9;122;81.85
"Charente-Maritime";45.8463717185304;14900;10.5;142;81.8
"Cher";47.0791108547113;15220;10;101;81.1
"Correze";45.383740075744;15104;7.9;136;81.7
"Cote-Dor";47.4757530319859;16260;8.1;215;82.55
"Cotes-Darmor";48.5672283884305;15132;8.8;121;81.25
"Creuse";46.1015885162354;13826;9.5;96;81.1
"Dordogne";45.1437519331624;14619;10.6;98;81.8
"Doubs";47.1463565201056;15852;9.2;199;82.4
"Drome";44.6332932535807;14853;10.6;153;82.7
"Eure";48.7953683388333;15888;10.4;74;81.05
"Eure-et-Loir";48.4386658504091;16183;9.4;110;82.05
"Finistere";48.3086453144875;15537;8.8;169;80.8
"Corse du Sud";41.8195510538447;14602;9.2;153;82.45
"Haute-Corse";42.4460407368188;14602;10.7;133;82.75
"Gard";43.9970676498925;14442;13.6;158;82
"Haute-Garonne";43.3338638550457;16800;10.2;248;83.55
"Gers";43.7496703575397;14671;7.9;103;82.4
"Gironde";44.8150247427133;16046;9.9;236;82.55
"Herault";43.6000055544304;14761;14.3;249;82.5
"Ille-et-Vilaine";48.2781094569786;16084;7.9;182;82.6
"Indre";47.0378041415744;14751;9.1;89;80.65
"Indre-et-Loire";47.2998301295911;15795;8.7;218;82.75
"Isere";45.2679429117839;16384;8.1;178;83.2
"Jura";46.7563141387643;15349;7.4;99;81.9
"Landes";43.9511619512586;15489;9.5;115;82.05
"Loir-et-Cher";47.6491584224977;15627;8.7;115;82.35
"Loire";47.0582108578439;14991;9.8;170;82.55
"Haute-Loire";45.1176453567133;14456;8.2;78;81.5
"Loire-Atlantique";47.3200929903137;15842;8.4;177;82.15
"Loiret";47.908853302002;16431;9.6;137;81.8
"Lot";44.4807799766804;14813;9.3;117;81.85
"Lot-et-Garonne";44.3978598418059;14324;9.9;127;82.1
"Lozere";44.5173160846417;14725;5.9;93;81.2
"Maine-et-Loire";47.4439105987549;15013;9.2;165;82.8
"Manche";49.132817961571;14661;8.2;114;81.6
"Marne";48.9558198434335;15812;9.6;186;80.95
"Haute-Marne";48.0965585566279;14499;9.2;115;80.45
"Mayenne";48.1833626343323;14844;6.6;87;82.6
"Meurthe-et-Moselle";48.9099638117184;15514;9.8;234;81.5
"Meuse";49.0632500136194;14771;10.1;81;80.9
"Morbihan";47.7002342575831;15353;9.1;141;81.4
"Moselle";49.0777672204104;15333;10.4;137;81
"Nievre";47.1548652961606;14897;9.4;109;80.6
"Nord";50.4680519104004;14434;12.7;185;80
"Oise";49.4189734587798;16317;10;105;80.95
"Orne";48.618976985707;14545;9.2;106;81.7
"Pas-de-Calais";50.4594669693087;13744;13;114;79.55
"Puy-de-Dome";45.7569080602343;15656;8.4;203;82.1
"Pyrenees-Atlantiques";43.277106145385;15707;8.5;192;82.7
"Hautes-Pyrenees";43.1412881578718;15057;11.2;159;81.8
"Pyrenees-Orientales";42.5750208829357;14112;14.6;165;81.35
"Bas-Rhin";48.7334740843092;16873;8.5;226;82.05
"Haut-Rhin";47.789245787121;17065;9.7;158;81.85
"Rhone";45.8461154522282;16672;9;264;83.1
"Haute-Saone";47.6304321289062;14905;9.9;89;81.35
"Saone-et-Loire";46.6529575694691;14892;8.8;128;81.6
"Sarthe";47.9628034762251;15282;9.5;117;81.95
"Savoie";45.4801965193315;16278;7.6;162;82.75
"Haute-Savoie";46.0272436141968;17596;7.2;148;83.3
"Paris";48.8578523000081;20126;8.1;572;83.8
"Seine-Maritime";49.5914618968964;15360;11.1;172;80.75
"Seine-et-Marne";48.6723535739309;17859;7.9;114;82
"Yvelines";48.8111606114347;20355;7.1;169;83.8
"Deux-Sevres";46.5470794960305;14732;7.5;99;82.55
"Somme";50.0002291019146;14740;11.8;171;80.25
"Tarn";43.972280849812;14638;10.7;151;82.95
"Tarn-et-Garonne";44.1163242003497;14478;11;127;82.4
"Var";43.2768313403973;15639;11;179;82.5
"Vaucluse";44.1167925844098;14547;12.3;176;81.5
"Vendee";46.7178257631968;15057;8.4;93;82.4
"Vienne";46.6010179588263;15289;8.1;185;82.9
"Haute-Vienne";45.8892791511476;15525;9.4;210;81.6
"Vosges";48.2208412539574;14886;11.7;112;80.95
"Yonne";47.8161187395953;15333;9.5;101;80.85
"Territoire de Belfort";47.6149047048468;15952;11.4;142;80.75
"Essonne";48.5520341772782;18878;7.4;138;83.25
"Hauts-de-Seine";48.8441980802096;20126;7.6;240;83.85
"Seine-Saint-Denis";48.936342493693;14467;12.7;146;81.75
"Val-de-Marne";48.7725775400798;17906;8.6;243;83.15
"Val-Doise";49.0864513336666;17359;9.8;144;82.35
