INSEE_COM;NOM_COM;NB_IRIS
94002;Alfortville;15
94003;Arcueil;9
94004;Boissy-Saint-Léger;6
94011;Bonneuil-sur-Marne;8
94015;Bry-sur-Marne;6
94016;Cachan;11
94017;Champigny-sur-Marne;33
94018;Charenton-le-Pont;10
94019;Chennevières-sur-Marne;8
94021;Chevilly-Larue;9
94022;Choisy-le-Roi;17
94028;Créteil;31
94033;Fontenay-sous-Bois;21
94034;Fresnes;10
94037;Gentilly;8
94038;L'Haÿ-les-Roses;12
94041;Ivry-sur-Seine;22
94042;Joinville-le-Pont;8
94043;Le Kremlin-Bicêtre;9
94044;Limeil-Brévannes;7
94046;Maisons-Alfort;23
94048;Marolles-en-Brie;3
94052;Nogent-sur-Marne;11
94054;Orly;9
94055;Ormesson-sur-Marne;5
94058;Le Perreux-sur-Marne;13
94059;Le Plessis-Trévise;7
94060;La Queue-en-Brie;5
94065;Rungis;5
94067;Saint-Mandé;9
94068;Saint-Maur-des-Fossés;34
94069;Saint-Maurice;4
94071;Sucy-en-Brie;11
94073;Thiais;12
94074;Valenton;5
94075;Villecresnes;4
94076;Villejuif;21
94077;Villeneuve-le-Roi;8
94078;Villeneuve-Saint-Georges;13
94079;Villiers-sur-Marne;9
94080;Vincennes;17
94081;Vitry-sur-Seine;37
