Catégorie : Toutes catégories

Mois,diet: (France)
2015-01,47
2015-02,54
2015-03,52
2015-04,50
2015-05,56
2015-06,50
2015-07,48
2015-08,48
2015-09,46
2015-10,42
2015-11,40
2015-12,39
2016-01,58
2016-02,60
2016-03,64
2016-04,63
2016-05,59
2016-06,50
2016-07,51
2016-08,55
2016-09,52
2016-10,47
2016-11,44
2016-12,39
2017-01,58
2017-02,100
2017-03,73
2017-04,69
2017-05,67
2017-06,54
2017-07,55
2017-08,56
2017-09,51
2017-10,49
2017-11,47
2017-12,38
2018-01,60
2018-02,52
2018-03,78
2018-04,77
2018-05,58
2018-06,54
2018-07,57
2018-08,57
2018-09,60
2018-10,68
2018-11,51
2018-12,47
2019-01,69
2019-02,65
2019-03,89
2019-04,99
2019-05,74
2019-06,87
2019-07,71
2019-08,72
2019-09,60
2019-10,62
2019-11,54
2019-12,43
2020-01,61
2020-02,60
2020-03,55
2020-04,70
2020-05,70
2020-06,59
2020-07,60
2020-08,55
2020-09,51
2020-10,42
2020-11,49
2020-12,43
2021-01,58
2021-02,54
2021-03,58
2021-04,57
2021-05,53
2021-06,45
2021-07,41
2021-08,45
2021-09,46
2021-10,41
2021-11,37
2021-12,33
2022-01,52
2022-02,44
2022-03,52
2022-04,47
2022-05,52
2022-06,47
2022-07,47
2022-08,45
2022-09,40
2022-10,38
2022-11,38
2022-12,33
