X;Y;type;name;address;com_insee;com_nom;geometry
2.4880268;48.7511444997541;pharmacy;Pharmacie Cholay Colteau;;94044;Limeil-Brévannes;POINT (2.4880268 48.7511444997541)
2.5262909;48.7749166997481;cafe;;;94071;Sucy-en-Brie;POINT (2.5262909 48.7749166997481)
2.5265302;48.7617230997514;pharmacy;;;94071;Sucy-en-Brie;POINT (2.5265302 48.7617230997514)
2.5340294;48.7214819997614;bakery;;;94075;Villecresnes;POINT (2.5340294 48.7214819997614)
2.5853354;48.8053196997406;bakery;Boulangerie du plessis;1 Avenue Gonzalve;94059;Le Plessis-Trévise;POINT (2.5853354 48.8053196997406)
2.4254493;48.7894390997445;fast_food;King Poulet;Rue de Choisy;94002;Alfortville;POINT (2.4254493 48.7894390997445)
2.5310753;48.7966087997428;bakery;;;94019;Chennevières-sur-Marne;POINT (2.5310753 48.7966087997428)
2.5182884;48.7723641997488;cafe;;;94071;Sucy-en-Brie;POINT (2.5182884 48.7723641997488)
2.4248498;48.7950307997432;supermarket;Franprix;;94002;Alfortville;POINT (2.4248498 48.7950307997432)
2.4200015;48.8041389997409;restaurant;La Rogina;;94002;Alfortville;POINT (2.4200015 48.8041389997409)
2.4564437;48.779578999747;fast_food;McDonald's;;94028;Créteil;POINT (2.4564437 48.779578999747)
2.4257208;48.7901281997444;bar;Tabacos;Place Petit Pont;94002;Alfortville;POINT (2.4257208 48.7901281997444)
2.5301361;48.7961822997429;cafe;Au Repos de la Côte;;94019;Chennevières-sur-Marne;POINT (2.5301361 48.7961822997429)
2.4563558;48.7746862997482;pharmacy;Pharmacie du Lac;;94028;Créteil;POINT (2.4563558 48.7746862997482)
2.5351408;48.7918808997439;fast_food;;;94019;Chennevières-sur-Marne;POINT (2.5351408 48.7918808997439)
2.4716134;48.7662324997503;fast_food;Rue Fernand Pouillon;;94028;Créteil;POINT (2.4716134 48.7662324997503)
2.4647084;48.7984842997423;pharmacy;Pharmacie Face à l'Interco;;94028;Créteil;POINT (2.4647084 48.7984842997423)
2.4807732;48.7477343997549;pharmacy;Pharmacie des Tilleuls;1 Rue Julie-Victoire Daubié;94044;Limeil-Brévannes;POINT (2.4807732 48.7477343997549)
2.5423151;48.8028691997412;cafe;Le Cis Bar;;94019;Chennevières-sur-Marne;POINT (2.5423151 48.8028691997412)
2.5358147;48.763514299751;pharmacy;Pharmacie Couffignal;;94071;Sucy-en-Brie;POINT (2.5358147 48.763514299751)
2.530473;48.7964192997428;pharmacy;;;94019;Chennevières-sur-Marne;POINT (2.530473 48.7964192997428)
2.4241191;48.803921799741;restaurant;;;94002;Alfortville;POINT (2.4241191 48.803921799741)
2.5755363;48.7903004997443;bar;Le Café de la Mairie;;94060;La Queue-en-Brie;POINT (2.5755363 48.7903004997443)
2.5498269;48.795721399743;restaurant;Poulets Pedra;16 Route de Provins;94055;Ormesson-sur-Marne;POINT (2.5498269 48.795721399743)
2.4573952;48.7729935997486;bakery;;;94028;Créteil;POINT (2.4573952 48.7729935997486)
2.4602155;48.8026287997413;bakery;;;94028;Créteil;POINT (2.4602155 48.8026287997413)
2.4706222;48.7781987997473;pharmacy;Pharmacie de l'Abbaye;;94028;Créteil;POINT (2.4706222 48.7781987997473)
